Variable Name,Role,Type,Demographic,Description,Units,Missing Values
age,Feature,Integer,Age,N/A,,no
capital-gain,Feature,Integer,,,,no
capital-loss,Feature,Integer,,,,no
education,Feature,Categorical,Education Level,"Bachelors, Some-college, 11th, HS-grad, Prof-school, Assoc-acdm, Assoc-voc, 9th, 7th-8th, 12th, Masters, 1st-4th, 10th, Doctorate, 5th-6th, Preschool.",,no
education-num,Feature,Integer,Education Level,,,no
fnlwgt,Feature,Integer,,,,no
hours-per-week,Feature,Integer,,,,no
marital-status,Feature,Categorical,Other,"Married-civ-spouse, Divorced, Never-married, Separated, Widowed, Married-spouse-absent, Married-AF-spouse.",,no
native-country,Feature,Categorical,Other,"United-States, Cambodia, England, Puerto-Rico, Canada, Germany, Outlying-US(Guam-USVI-etc), India, Japan, Greece, South, China, Cuba, Iran, etc.",,yes
occupation,Feature,Categorical,Other,"Tech-support, Craft-repair, Other-service, Sales, Exec-managerial, Prof-specialty, Handlers-cleaners, Machine-op-inspct, etc.",,yes
race,Feature,Categorical,Race,"White, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Black.",,no
relationship,Feature,Categorical,Other,"Wife, Own-child, Husband, Not-in-family, Other-relative, Unmarried.",,no
sex,Feature,Binary,Sex,"Female, Male.",,no
workclass,Feature,Categorical,Income,"Private, Self-emp-not-inc, Self-emp-inc, Federal-gov, Local-gov, State-gov, Without-pay, Never-worked.",,yes
